Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,939.102783203125,953.7339477539062,915.690185546875,929.7528076171875,929.7528076171875,17378905984
2021-01-02,929.7974853515625,1001.598388671875,914.156982421875,985.9868774414062,985.9868774414062,25130100415
2021-01-03,985.9574584960938,1280.6304931640625,982.2018432617188,1241.2164306640625,1241.2164306640625,57512165580
2021-01-04,1243.1900634765625,1464.714111328125,1156.1417236328125,1329.5791015625,1329.5791015625,72785796433
2021-01-05,1331.1968994140625,1443.0714111328125,1258.2830810546875,1394.40625,1394.40625,52652402151
2021-01-06,1395.6724853515625,1531.84521484375,1350.01513671875,1528.9114990234375,1528.9114990234375,56616285512
2021-01-07,1530.1351318359375,1629.6982421875,1480.4825439453125,1554.88916015625,1554.88916015625,51337537067
2021-01-08,1555.2567138671875,1616.024658203125,1364.5155029296875,1553.411865234375,1553.411865234375,56257481258
2021-01-09,1552.8323974609375,1654.4959716796875,1500.1947021484375,1625.57177734375,1625.57177734375,42169819723
2021-01-10,1625.31005859375,1710.39697265625,1516.625732421875,1606.510498046875,1606.510498046875,51694761120
2021-01-11,1605.716796875,1605.716796875,1182.0548095703125,1392.5440673828125,1392.5440673828125,77580714210
2021-01-12,1390.476318359375,1466.2581787109375,1292.677001953125,1325.96435546875,1325.96435546875,47646977497
2021-01-13,1326.3536376953125,1440.815185546875,1264.651611328125,1435.7823486328125,1435.7823486328125,38232601927
2021-01-14,1435.136962890625,1573.5738525390625,1387.2525634765625,1541.074951171875,1541.074951171875,42257458249
2021-01-15,1545.40576171875,1581.2584228515625,1391.105712890625,1492.5997314453125,1492.5997314453125,45818629658
2021-01-16,1492.1009521484375,1643.1787109375,1474.4990234375,1571.192626953125,1571.192626953125,41165953446
2021-01-17,1571.0853271484375,1611.7479248046875,1491.978515625,1571.1207275390625,1571.1207275390625,37367042905
2021-01-18,1571.30078125,1606.05712890625,1516.4930419921875,1602.962158203125,1602.962158203125,32915835879
2021-01-19,1603.159912109375,1823.7147216796875,1597.716552734375,1752.2315673828125,1752.2315673828125,60043895843
2021-01-20,1749.6268310546875,1788.1627197265625,1579.5877685546875,1745.6365966796875,1745.6365966796875,59082289466
2021-01-21,1746.15478515625,1746.15478515625,1388.5035400390625,1418.6986083984375,1418.6986083984375,58100939249
2021-01-22,1415.3062744140625,1618.203369140625,1324.64697265625,1574.543701171875,1574.543701171875,55924514296
2021-01-23,1572.959228515625,1619.9254150390625,1529.1875,1567.5126953125,1567.5126953125,34704429108
2021-01-24,1567.7928466796875,1775.1717529296875,1560.2332763671875,1771.0762939453125,1771.0762939453125,46348741228
2021-01-25,1769.84228515625,1866.442626953125,1663.1424560546875,1687.083251953125,1687.083251953125,55495525362
2021-01-26,1686.225830078125,1753.2906494140625,1592.462890625,1722.5274658203125,1722.5274658203125,52768920230
2021-01-27,1724.1461181640625,1736.2637939453125,1557.52587890625,1606.3916015625,1606.3916015625,50497536446
2021-01-28,1603.94677734375,1739.6016845703125,1572.4490966796875,1709.6834716796875,1709.6834716796875,44442066116
2021-01-29,1756.6368408203125,1822.031005859375,1662.9578857421875,1766.3802490234375,1766.3802490234375,68497314636
2021-01-30,1766.0086669921875,1791.776123046875,1697.3951416015625,1758.6068115234375,1758.6068115234375,39126451043
2021-01-31,1759.51171875,1762.185791015625,1646.7694091796875,1683.35986328125,1683.35986328125,32257934429
2021-02-01,1683.1922607421875,1764.6129150390625,1629.96728515625,1759.1485595703125,1759.1485595703125,37534251599
2021-02-02,1759.74560546875,1972.2509765625,1748.210693359375,1937.5465087890625,1937.5465087890625,58102519171
2021-02-03,1937.0040283203125,2123.472900390625,1927.5885009765625,2123.472900390625,2123.472900390625,53536633142
2021-02-04,2123.80615234375,2159.893798828125,2003.8814697265625,2045.35498046875,2045.35498046875,56940985989
2021-02-05,2045.3941650390625,2244.497802734375,2045.3941650390625,2193.522705078125,2193.522705078125,51190843038
2021-02-06,2192.43359375,2218.619384765625,2104.714599609375,2141.4443359375,2141.4443359375,50890646140
2021-02-07,2141.136474609375,2157.002197265625,1915.429931640625,2059.816162109375,2059.816162109375,50900441431
2021-02-08,2059.06884765625,2259.210205078125,2006.2757568359375,2225.03271484375,2225.03271484375,61163331202
2021-02-09,2225.4267578125,2310.53955078125,2179.2490234375,2245.1181640625,2245.1181640625,56102366683
2021-02-10,2245.1240234375,2318.343017578125,2142.473876953125,2214.75830078125,2214.75830078125,53223074191
2021-02-11,2214.08642578125,2287.2861328125,2171.8203125,2265.458984375,2265.458984375,45748019412
2021-02-12,2265.06689453125,2363.4580078125,2219.350341796875,2340.825439453125,2340.825439453125,48129920560
2021-02-13,2341.402099609375,2376.65576171875,2248.411865234375,2303.6474609375,2303.6474609375,44901249055
2021-02-14,2303.980712890625,2346.87841796875,2272.922607421875,2290.516357421875,2290.516357421875,39893878874
2021-02-15,2289.99951171875,2317.916015625,2134.558837890625,2248.94384765625,2248.94384765625,49224309912
2021-02-16,2247.875732421875,2301.183349609375,2194.763427734375,2264.178466796875,2264.178466796875,43564867143
2021-02-17,2264.537841796875,2354.207763671875,2204.322509765625,2347.538330078125,2347.538330078125,45663302222
2021-02-18,2347.21826171875,2471.2373046875,2347.21826171875,2456.958740234375,2456.958740234375,35832469046
2021-02-19,2458.747802734375,2485.73193359375,2409.072021484375,2473.825927734375,2473.825927734375,33152557028
2021-02-20,2473.49560546875,2568.91796875,2309.34375,2421.588134765625,2421.588134765625,43770853730
2021-02-21,2420.502197265625,2490.666748046875,2384.7939453125,2439.033447265625,2439.033447265625,29771600140
2021-02-22,2438.97900390625,2440.10791015625,1998.604248046875,2247.3515625,2247.3515625,53484713050
2021-02-23,2246.614990234375,2246.614990234375,1739.4560546875,1977.6529541015625,1977.6529541015625,65530990247
2021-02-24,1979.2557373046875,2151.247314453125,1902.002685546875,2035.309814453125,2035.309814453125,39201508437
2021-02-25,2033.8309326171875,2084.4462890625,1847.6590576171875,1861.4630126953125,1861.4630126953125,30881364886
2021-02-26,1865.18359375,1980.0633544921875,1777.3865966796875,1841.985107421875,1841.985107421875,40043771384
2021-02-27,1843.126220703125,1942.3216552734375,1826.228759765625,1859.5823974609375,1859.5823974609375,26419424309
2021-02-28,1859.4388427734375,1870.304931640625,1656.42431640625,1797.9813232421875,1797.9813232421875,35091201844
2021-03-01,1799.380859375,1982.031494140625,1798.310302734375,1977.970458984375,1977.970458984375,30380271824
2021-03-02,1977.156005859375,2019.9622802734375,1845.7271728515625,1886.0977783203125,1886.0977783203125,28461472152
2021-03-03,1884.635009765625,2083.976318359375,1872.447265625,1997.338623046875,1997.338623046875,28739490895
